"HolderAddress","Quantity","PendingBalanceUpdate"
"0x97564fc8a502f308bdde28bf4c91f4e6416ba5f5","4","No"
"0x97cddb26a74a7da94619663503e338f27288b090","4","No"
"0x9bb380badd0fe386d2744fa33a7307ccc5036643","4","No"
"0x9e2e3cb6dfc9b68a49598fed389c9a0d5a3b54eb","4","No"
"0xa2168f8804d08252241c8d2083828da3f3432892","4","No"
"0xaf5dcc60eb295a570817ec609148c6b4e751a95c","4","No"
"0xc85a130fb6facad7b09e79748b522872bce05858","4","No"
"0xd05b85c42b5b46e97c6cdd76c0bd2e2763af8f71","4","No"
"0xd291783cec75d81b486444dbcb6c899a77586040","4","No"
"0xd53f6bae74603aaf74145e8150d11dbdb6fc805d","4","No"
"0xd80edf07fd99f059506abfecf9d73fda66e54140","4","No"
"0xe379139940ed44892a7a213670d4f7b428522aa6","4","No"
"0xe8505e174b4d0b2a47fdfa6f1beb03449b4ab63e","4","No"
"0xe9babecd9bc528e36c1923a17efc5de7f691380f","4","No"
"0xeefa3a78c461f4c6b0574d65f292f8b9ae8e44e6","4","No"
"0xf2c370252fcfe6186cf8bdd87dffd8b756962e55","4","No"
"0xf6cf863958970a1a1083551c070cbd991d1afe6f","4","No"
"0xfcafeb126a5cdac590bcda422a8c208249fdb253","4","No"
"0x080443e2343feb1ce8dccbb6950709ed2802d2e8","3","No"
"0x0a384a5499a43ef8c46a22d71cc8e97a2bfc473b","3","No"
"0x0c5dd8a1941a7821c352c34ce6c7239c10e44e03","3","No"
"0x238092c9ab8f01857ac7682ed41d09820938722c","3","No"
"0x37eb920d6243f04dff4119022e615b99d02b9469","3","No"
"0x3d39ff41f7407ae432e210a635cc91352c55563e","3","No"
"0x3e0f64fa060124019db24422466750ddd1275aca","3","No"
"0x3e11817058e1ad3073ea78e2f68f13bec2983c24","3","No"
"0x3e837795d43e7730e183c87b8916e25288337b0d","3","No"
"0x407e515726b2abe4602230b5d7d00141c808f9ff","3","No"
"0x42397bb9dd92eb6b9ecaab3dc7aa55c19db803d9","3","No"
"0x44ab8a3d7197b3f7ae89f7b7d556f95f3cbd9aa2","3","No"
"0x45a39792776a2871bef6515e7e7345440d890db5","3","No"
"0x46c31857a64df53014401fdcbbc988389ae679bb","3","No"
"0x47e44738be0732119e0687eaa3bc18f5c8e58399","3","No"
"0x4eb212b31cfce377e8c803f49a53bd27bfb950a4","3","No"
"0x5332abb9258fd5626746aceaca8ea89b72cfb791","3","No"
"0x540d31354e29d641a8b493bf2bf8faf9aadbbb10","3","No"
"0x5925ec1a21966b1dfcfc09855f55096de369ce30","3","No"
"0x5eed34ec0e6e037a7498aeb4aec4c29a5c20b49e","3","No"
"0x61d0ef0fabdc7f4eda36f7ee48819f52ab718b57","3","No"
"0x657fe66d1b244a75bbd0e09251bbed343cc76d6e","3","No"
"0x6f4cb66f398b5e2cb36b14d7e6c773c93c04d986","3","No"
"0x860b4c181500046ff38f9cc68651d13b67888660","3","No"
"0x91dd96b5b11a604bc2518d2947fbc6bb350e8d9a","3","No"
"0xa51dad6b6a5c9474b175948fb3fd057f1d7bf9ef","3","No"
"0xa8a9b38f5916b7083b558741e3f8b97c1fa26206","3","No"
"0xbc4c1ea6cca23dad5c1c25cdeeb1e6fc38d5838a","3","No"
"0xbf38041f64d5842199182bd29b5be78ddd8add1a","3","No"
"0xc67b1d9e57ec0c1e19b0074f2723a96d27ed73f8","3","No"
"0xcde2f651f6c2ae3e56ff95e38399f4b3e46716a0","3","No"
"0xce249984b8e1ac4ffcfafb4eddfdae54fa068671","3","No"
"0xd2a17cda665ee9c83861de6e024a4c47ca3f6a47","3","No"
"0xd34a6b9fca0867988cdc602d60724f822f96fffd","3","No"
"0xd3bb1e418ead4d759c66f667685603f822073684","3","No"
"0xd72f6d311fb6560bcac61f475fb317f17bb208ab","3","No"
"0xd86edc4e35d52c7ef4e6e9690d74d499d07d00e6","3","No"
"0xd88012740afd5624b4e23e69e90b97bd7a0c2723","3","No"
"0xe87b56cf45b98e2cd37b56935b6fdd7a9f37962c","3","No"
"0xedfb35cdf2b2364d9ea63f72dd0a01e3802f1623","3","No"
"0xf5fb57ccefca0e1ebadba651e115522246e9f6f2","3","No"
"0xf9116ff6d670f1aecd13551adaa44b554e2f10cb","3","No"
"0xfb9df2f597d51f9bcac82f4b695b4f3a10e93744","3","No"
"0xff5c45a8f65d8156e3f940290406cf3016383bc1","3","No"
"0x010ee5c07bc00aac0a17b8bdd05c21d100a0df1b","2","No"
"0x01a5b29fa1c3fb4918b50e7f9974edc37d7549b9","2","No"
"0x02fe4109e607a011bfdac9842238a2cfdc91a152","2","No"
"0x0318ce24bc6376aff1ca1f379e151eb5d5c6b2b0","2","No"
"0x04498099b36a9403d5a97d05e0283ecab10332db","2","No"
"0x06c063d13301b894fc1f035f68ba54575c1efab3","2","No"
"0x071db845432dfcfea9035bd5461a46ddb297232d","2","No"
"0x074bc6436776e6c7b0a9fd59dd93f4bce1902f54","2","No"
"0x09ee21ed9d817e2029a5779d23801da97d71fd79","2","No"
"0x0a3f84f41da356043a0f647822299796cb084a28","2","No"
"0x0c25a745aa4bb569f5850887685c2e4a9919dbf3","2","No"
"0x0cd1e48e29362a10b5dd5dadc9853af0a9bd07ca","2","No"
"0x0f11c916516895f56f9937df3f6d16cd3e87927b","2","No"
"0x0f7c934f523367f63d07de8b25569e6b03fd6329","2","No"
"0x107b412aa919d56c64c1e1bed15dc4b56a23ba6b","2","No"
"0x14731977b207ac7efbdc5ddac9d4cceb5aa486fa","2","No"
"0x175d958e3e0416344eaebd4dbedde9020ae7eb7e","2","No"
"0x1802a514921e9bd0a564e3f6720aa3181d6ea46d","2","No"
"0x180d73c96afb959bc94b2acbd5c8a862a10c9163","2","No"
